highway,addr:city,addr:housenumber,addr:postcode,addr:street,bench,bus,covered,departures_board,description,gtfs_id,name,network,network:wikidata,network:wikipedia,operator,public_transport,route_ref,shelter,wheelchair,natural,crossing,crossing:markings,maxspeed,lanes,lit,postal_code,surface,bicycle,foot,oneway,handrail,incline,ramp,alt_name,maxspeed:type,amenity,brand,brand:wikidata,brand:wikipedia,building,roof:material,lanes:backward,lanes:forward,source,horse,height,shop,contact:phone,area,footway,barrier,type,area_m2,length_m
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,5.625,,,,,,,76.68525772505332,41.158277887728026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,8.23,,,,,,,101.27287181231279,45.52020001964565
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.983,,,,,,,36.122065801864395,24.73541206558243
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.392,,,,,,,27.568344764097535,21.14985415197302
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.139,,,,,,,27.56320979000676,21.530473615970124
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.374,,,,,,,19.999366597131516,18.667190548750938
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,4.496,,,,,,,52.72009173563,33.63676725791075
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,5.614,,,,,,,101.71737903971793,43.773039933187704
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,2.964,,,,,,,15.390138654055113,16.082232821736486
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.451,,,,,,,210.49817002670227,84.91674524559735
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,2.818,,,,,,,7.715182345494538,11.37008064278032
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,5.546,,,,,,,88.64307391951735,44.805824356725296
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.381,,,,,,,41.65916398257921,29.549306581129077
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.226,,,,,,,77.53290694066486,41.37159708992602
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.627,,,,,,,102.3914753798622,41.958499514919055
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,4.894,,,,,,,186.7276478513403,62.00615329957181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.522,,,,,,,69.2632136270544,38.378597835309854
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,5.264,,,,,,,208.43835038473787,87.6931307717034
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,4.596,,,,,,,97.87640815686444,52.728449340275205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,4.14,,,,,,,62.653609755200705,32.597081408155034
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.901,,,,,,,14.269907689871687,15.732558471319692
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,7.375,,,,,,,72.88300093478311,45.977997457328755
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,5.278,,,,,,,422.39459409605195,100.39673398426997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.337,,,,,,,102.87093304064244,62.37587623231742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,7.147,,,,,,,99.36205245664692,49.782650628726756
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,4.937,,,,,,,80.2821390107229,49.87293938533316
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.138,,,,,,,22.258265636192256,19.207660747878982
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,7.263,,,,,,,113.0673094138829,50.88964355712047
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,5.387,,,,,,,146.90372218783054,74.5648511693162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.771,,,,,,,159.02675819361352,64.66596780510919
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,5.507,,,,,,,54.495000492002255,33.47008308995748
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.49,,,,,,,162.58271327064,52.25259228408426
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,12.345,,,,,,,209.85200343302216,59.76424934552614
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,2.977,,,,,,,131.19509508669424,70.42987780918102
