highway,lanes,name,oneway,surface,alt_name,maxspeed,source,IBGE:CD_ADMINIS,ref,addr:city,addr:housenumber,addr:postcode,addr:street,addr:suburb,building,shop,bicycle,lit,service,covered,layer,landuse,amenity,brand,brand:wikidata,brand:wikipedia,religion,area_m2,length_m
tertiary,2,Rua Salinas Ponta Costa,,paved,,,,,,,,,,,,,,,,,,,,,,,,0.0,377.8892280563477
trunk_link,1,,yes,,,,,,,,,,,,,,,,,,,,,,,,,0.0,26.594455446178173
trunk,2,Avenida América Central,yes,paved,,80,IBGE;GPS,estadual,RJ-140,,,,,,,,,,,,,,,,,,,0.0,516.7728722559391
secondary,2,Avenida Joaquim Nogueira,yes,paved,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.54075565339568
secondary,2,Avenida Joaquim Nogueira,yes,paved,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.368486116044341
,,Pão Pão Padaria,,,,,,,,Cabo Frio,310,28909-600,Rua Gonçalves Ledo,Guarani,yes,bakery,,,,,,,,,,,,37.57092969422305,25.136266687322525
residential,,Rua Gonçalves Ledo,,paved,,,,,,,,,,,,,,,,,,,,,,,,0.0,219.07205294353835
pedestrian,,,,concrete,,,,,,,,,,,,,yes,yes,,,,,,,,,,0.0,182.66405469038912
trunk,2,Avenida América Central,yes,paved,,80,,,RJ-140,,,,,,,,,,,,,,,,,,,0.0,523.3806022525675
trunk,2,Avenida América Central,yes,paved,,80,IBGE;GPS,estadual,RJ-140,,,,,,,,,,,,,,,,,,,0.0,10.908574669702537
secondary_link,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.459394512811958
residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.695087013523835
residential,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,0.0,147.19710020919774
tertiary,1,Rua Salinas Ponta Costa,yes,paved,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.234913400439027
tertiary,2,Rua Salinas Ponta Costa,,paved,,,,,,,,,,,,,,,,,,,,,,,,0.0,29.754327759851858
service,,,,,,,,,,,,,,,,,,,parking_aisle,,,,,,,,,0.0,100.25141081171456
