crossing,highway,power,addr:city,addr:postcode,addr:street,addr:suburb,amenity,name,religion,natural,junction,lanes,surface,maxspeed,oneway,source,alt_name,bridge,layer,service,building:levels,building,landuse,cables,circuits,description,frequency,old_operator,operator,voltage,wires,location,substation,brand,fuel:GNV,fuel:diesel,fuel:diesel_S10,fuel:etanol_comum,fuel:gasolina_aditivada,fuel:gasolina_comum,access,footway,shop,area_m2,length_m
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,496.61195528169173
,residential,,,,,,,Rua 13,,,,,,,,,Rua Treze,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,189.33854877097238
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,110.24281589335054
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,71.74498436008395
,residential,,,,,,,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,189.2041834855235
,,,Macaé,,Rua Hildebrando Alves Barbosa,Ajuda,fuel,Posto Modelo,,,,,,,,,,,,,,,,,,,,,,,,,,Ipiranga,yes,yes,yes,yes,yes,yes,,,,3569.0360782960115,248.53729600009785
,service,,,,,,,,,,,,paved,,no,,,,,driveway,,,,,,,,,,,,,,,,,,,,,private,,,0.0,258.44422458017976
,service,,,,,,,,,,,,paved,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,192.08644957288982
,service,,,,,,,,,,,,asphalt,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,209.7584831328669
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.167645989664818
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.3406251849995523
,residential,,,,,,,Avenida José Alvares de Azevedo,,,,,paved,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.734087714551812
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,92.4005779782149
,primary,,,,,,,Rua Hildebrando Alves Barbosa,,,,2,paved,60,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,60.41913479978535
,primary,,,,,,,Rua Hildebrando Alves Barbosa,,,,2,paved,60,yes,,,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20.47142974431992
,primary,,,,,,,Rua Hildebrando Alves Barbosa,,,,2,paved,60,yes,,,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20.807241934767852
,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crossing,,0.0,7.355479370297206
,residential,,,,,,,Rua da Legalidade,,,,2,asphalt,10,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,180.1771010506488
,residential,,,,,,,Rua da Honestidade,,,,2,asphalt,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,63.822292064833675
,residential,,,,,,,Rua Síndica das Rosas,,,,2,asphalt,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,112.50026758478415
,,,,,,,,Supermercado J. Pavani,,,,,paved,,,,,,,,1,commercial,,,,,,,,,,,,,,,,,,,,,supermarket,4647.018116708392,274.9378357379123
,service,,,,,,,,,,,,,,,,,,,alley,,,,,,,,,,,,,,,,,,,,,,,,0.0,28.92148256985565
,service,,,,,,,,,,,,,,,,,,,alley,,,,,,,,,,,,,,,,,,,,,,,,0.0,26.432205136356753
,service,,,,,,,Rua Dois,,,,,,,,,,,,alley,,,,,,,,,,,,,,,,,,,,,,,,0.0,26.911835056327124
,residential,,,,,,,Rua Dez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,36.53576839479414
,residential,,,,,,,Rua Onze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,26.642909345330548
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,234.09862305447814
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,16.6347914970811
,,,,,,,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.88417192023195,83.32970497508227
,path,,,,,,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,316.9823380182712
,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,995.4228718413369,128.08759551143282
