power,access,fishing,leisure,name,crossing,highway,IBGE:CD_ADMINIS,bridge,lanes,layer,maxspeed,oneway,ref,source,destination:ref,alt_name,surface,loc_name,sport,amenity,brand,brand:wikidata,brand:wikipedia,operator,landuse,cables,circuits,description,frequency,old_operator,voltage,wires,park,building,residential,leaf_cycle,leaf_type,natural,bicycle,dog,foot,horse,incline,lit,stroller,wheelchair,motor_vehicle,width,hoops,addr:street,addr:city,addr:housenumber,seamark:harbour:category,seamark:type,shop,community_centre,area_m2,length_m
,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,235.7113993568369
,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,168.593257644211
,,,,Rua Henrique Terra,,tertiary,,,2,,40,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,306.841855674453
,,,,Rua Henrique Terra,,tertiary,,,2,,40,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,172.78077316143472
,,,,Rua Henrique Terra,,tertiary,,,2,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,65.78840521686372
,,,,Rua Acre,,tertiary,,,2,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,582.6835618643064
,,,,Rua Irmã Josefina da Veiga,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,642.8534042774684
,,,,Rua Henrique Terra,,tertiary,,,2,,40,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,172.49008739541426
,,,,Rua Paulo Burle,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.63368897950754
,,,,Rua Henrique Terra,,tertiary,,,2,,40,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,312.6997017460966
,,,,Avenida América Central,,trunk,estadual,,2,,80,yes,RJ-140,IBGE;GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,992.9586241346003
,,,,Rua Antônio Feliciano Cardozo,,tertiary,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1879.3727957161143
,,,pitch,,,,,,,,,,,,,,,,soccer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4021.916305673021,261.6539317762814
,,,,Rua Maria Luiza,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,116.17116057563763
,,,,Rua Roberto Silveira,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,102.07856916482216
,,,,Praça Oswaldo CruZ,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,191.41760210655974
,,,,Rua Jati,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,94.92602931789415
,,,,Rua Agastão Ramalho,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,182.32435052339542
,,,,Rua Paulo Burle 1,,residential,,,,,,,,,,Rua Paulo Burle Um,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,157.24442407752787
,,,,Rua Sergio Camilo,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,128.7046403292973
,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,53.75578195025786
,,,,Rua Otilia Santana de Almeida,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,127.47866313879346
,,,,Rua Alziro Ramalho,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,110.93307663328719
,,,,Travessa Feliciano Cardoso,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,96.73397699613915
,,,,Travessa Antônio Feliciano Cardoso,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.51183213694308
,,,,Rua Irmã Jovelina da Veiga,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,82.9271561818419
,,,,Rua Paulo Burle,,residential,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.66581432857972
,,,,Rua Marina do Canal Palmer,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,356.74296831246704
,,,,Rua das Canoas,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,141.28185565842853
,,,,Rua dos Saveiros,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,111.5485818358581
,,,,Rua das Barcas,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,109.15588306379499
,,,,Rua dos Veleiros,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,108.11810332647696
,,,,Rua das Chalanas,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,139.2133159479475
,,,,Rua das Traineiras,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,146.6435111181096
,,,,Rua da Prainha,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,121.43105425781013
,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,50.366116194609894
,,,,Rua Ilha da Conceição,,residential,,,,,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,154.48676680437165
,,,,Rua Ilha da Conceição,,residential,,,,,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,32.96207344350872
,,,,Rua Ilha da Conceição,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,32.54218457223097
,,,,Travessa Vina,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,87.07670083624927
,,,,BR,,,,,,,,,,,,,,,,fuel,BR,Q4836468,pt:BR Distribuidora,Petrobras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3429.763450488417,243.74220212546172
,private,,,,,living_street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,96.65415115889672
,private,,,,,living_street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,56.21917651834946
,,,,Rua dos Jet Skis,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,86.1656051984968
,,,,,,trunk_link,,,1,,60,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,98.7629303213013
,,,,,,trunk_link,,,1,,60,yes,,,RJ-140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,58.43238043776306
,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.04435296075236,44.365375379841474
line,,,,,,,,,,,,,,bing,,,,,,,,,,Enel Distribuição Rio,,3,1,LT Porto Carro/Arraial do Cabo,60,Ampla,69000,single,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13190.45930343868
,,,park,Parque do Coreto,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,recreation,,,,,,,,,,,,,,,,,,,,,,,,838.2017662450312,143.800681808689
,,,nature_reserve,Área de Proteção Ambiental das Palmeiras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public_reserve,,,,,,,,,,,,,,,,,,,,,,,,8245.814648671738,801.599184248968
,yes,,pitch,Quadra de Tênis Palmer,,,,,,,,,,,,,concrete,,tennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.2723451042237,74.15358293016884
,yes,,pitch,Campo de grama Palmer,,,,,,,,,,,,,grass,,soccer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.41151530940374,78.06476992027288
,yes,,pitch,Campo de Grama,,,,,,,,,,,,,grass,,soccer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.37316922660716,56.44920625372599
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,432.2910812701901,83.24278181148175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,326.07757169943153,73.12514997072797
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,236.8724514907836,64.98528640214396
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,296.13979180445125,70.50432534199034
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,356.0723703494049,77.58720132441022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,145.20734227500446,48.38263505600479
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,112.71182984525174,42.58426051779943
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,334.7725121436245,75.63340592245248
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,415.84744154266804,81.83726402501489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,383.2089702273935,78.81626401221577
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,498.13097829002203,89.2938150823926
,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,mixed,mixed,wood,,,,,,,,,,,,,,,,,,,372.7145122455074,78.908203230228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,473.7828317679327,88.60173932636499
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,440.29317524965165,99.1541851144966
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,782.8798183676367,115.78834401733167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,626.6066170967691,103.17126887555446
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mixed,mixed,wood,,,,,,,,,,,,,,,,,,,461.3712049736931,91.02115652160064
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,83.5042811888915,37.48447596380944
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,448.64387760420186,89.37046536884034
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,408.902270275327,96.53084580639192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,436.7059591836571,89.10142918164163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,438.9074332941808,87.44488587327135
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,304.3313739868195,76.02045410026719
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,311.6725521623653,74.28330205728719
,yes,,pitch,,,,,,,,,,,,,,grass,,soccer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.5105052587246,74.30482738472196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,375.06846735483504,81.99429549740368
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,600.5957876326524,98.86725463464555
,,,garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,800.6116304219165,286.3457463808952
,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,115.91314330421193,57.18922360279138
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,442.6444490047809,92.2418563303784
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,250.36149429842914,66.8774577991039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,430.2082314432608,87.39838119579743
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,382.72983629467217,90.31246203571189
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,477.66809314746524,100.81361509656844
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mixed,mixed,wood,,,,,,,,,,,,,,,,,,,1686.694461243565,217.66532955602543
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,1651.1171843382238,220.81480396364543
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,430.46686371971805,83.79198765689631
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,334.66896346443286,73.26455363920422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,334.61633448704237,73.69934348006538
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,224.29605106190408,60.052847217265295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,302.40583968259716,71.12339206794645
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,467.0146672504156,96.126994207196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,361.3222830791262,74.47111324219823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,547.7257800343787,108.79117991238134
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,486.62286080734003,104.83507351279891
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,430.02155658385004,98.17939449001935
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mixed,mixed,wood,,,,,,,,,,,,,,,,,,,2086.42161871438,178.8376303342401
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,552.1659252143307,95.38345037405307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,610.428527479067,100.63273833247241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,urban,,,,,,,,,,,,,,,,,,,,,,636.4492772463794,102.53890860879511
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,842.0167377766766,144.9848580928685
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,698.5953904038131,107.91593737486103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,490.2410845134688,92.05789191347915
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,350.49009826284924,80.37605086229823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,371.2236807436383,79.81228317094019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,454.30433300041364,86.48089361953133
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,561.3835245912239,96.57300287042989
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,460.1976232461004,85.91483589980515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,515.352686665637,91.08485372429266
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,250.29625297124397,69.39206166396659
