highway,source,amenity,ele,gnis:feature_id,name,power,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,brand,brand:wikidata,ref,bus,network,network:short,network:wikidata,public_transport,tiger:cfcc,tiger:name_base,tiger:name_type,tiger:reviewed,tiger:separated,tiger:source,tiger:tlid,tiger:zip_left,tiger:zip_right,hgv,lanes,maxspeed,old_ref_legislative,oneway,shoulder,source:hgv,building,bicycle,foot,motor_vehicle,segregated,surface,tiger:name_base_1,cables,voltage,access,service,tunnel,layer,natural,footway,area_m2,length_m
residential,,,,,Dory Street,,,,,,,,,,,,,,,A41,Dory,St,no,,,,15122,15122,,,,,,,,,,,,,,,,,,,,,,,0.0,319.1515079250903
primary,,,,,Kennywood Boulevard,,,,,,,,,PA 837;Green Belt,,,,,,,,,,,,,,,designated,2,40 mph,736 Extension,yes,right,https://www.dot.state.pa.us/public/pubsforms/Publications/TruckersMap.pdf,,,,,,,,,,,,,,,,0.0,1556.3720575000086
residential,,,,,Maple Street,,,,,,,,,,,,,,,A41,Maple,St,,,,,15122,15122,,,,,yes,,,,,,,,,,,,,,,,,,0.0,323.36854318773845
,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,9981.541364696519,533.424643496752
,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,427.01946430704066,82.95839739351298
,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,399.09585320701495,95.7316723388322
cycleway,,,,,Great Allegheny Passage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,designated,designated,no,yes,paved,,,,,,,,,,0.0,2886.009363543914
residential,,,,,Division Street,,,,,,,,,,,,,,,A41,Division,St,no,,,,15122,15122,,,,,,,,,,,,,,,,,,,,,,,0.0,354.2223713065176
residential,,,,,Frank Street,,,,,,,,,,,,,,,A41,Frank,St,no,,,,15122,15122,,,,,,,,,,,,,,,,,,,,,,,0.0,85.76889471547733
residential,,,,,Rossmoor Drive,,,,,,,,,,,,,,,A41,Rossmoor,Dr,no,,,,15122,15122,,,,,,,,,,,,,,,,,,,,,,,0.0,166.70730978225689
primary,,,,,Kennywood Boulevard,,,,,,,,,PA 837;Green Belt,,,,,,A35,Kennywood,Blvd,,,,,15122,,designated,2,40 mph,736 Extension,yes,,https://www.dot.state.pa.us/public/pubsforms/Publications/TruckersMap.pdf,,,,,,,State Route 837,,,,,,,,,0.0,421.368239463349
primary,,,,,Kennywood Boulevard,,,,,,,,,PA 837;Green Belt,,,,,,A35,Kennywood,Blvd,,,,,15122,,designated,2,40 mph,736 Extension,yes,,https://www.dot.state.pa.us/public/pubsforms/Publications/TruckersMap.pdf,,,,,,,State Route 837,,,,,,,,,0.0,1973.958546768939
,bing,,,,Dravosburg - Rankin,line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,138000,,,,,,,0.0,6403.250466773922
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,retail,,,,,,,,,,,,,,,415.9567977956232,84.09272807362747
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roof,,,,,,,,,,,,,,,463.20189238230364,118.91371685937531
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,829.423837343592,124.31795570010678
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,859.6397783410316,154.53885341902938
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,388.05240226734105,81.658987279895
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,688.4185356961934,121.24164927833738
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,105.8524572387898,41.733472303092704
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,172.31401274757718,54.052717050098224
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,112.7344319298897,42.48037361901531
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,144.64326261140678,60.14462120111426
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,81.9706631981209,36.843012371710365
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,driveway,,,,,0.0,96.56565575828373
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,driveway,,,,,0.0,75.26402246182002
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,driveway,,,,,0.0,58.022671050028634
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,driveway,,,,,0.0,56.8732787714208
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,98.66396326769792
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building_passage,,,,0.0,11.953098655836296
