crossing,highway,natural,lanes,maxspeed,name,oneway,ref,surface,junction,bridge,layer,source,alt_name,building,service,intermittent,water,alt_name2,landuse,building:levels,alt_name:en,footway,access,shop,smoothness,width,amenity,healthcare,operator,operator:type,area_m2,length_m
,primary,,2,60,Rua Hildebrando Alves Barbosa,yes,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,472.6451151375618
,tertiary,,2,,Rua Antônio Cesario,,,paved,,,,IBGE,,,,,,,,,,,,,,,,,,,0.0,574.3114130136136
,primary,,2,60,,yes,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,35.571882393466005
,tertiary,,2,,Estrada Antônio Guimarães Mosqueira,no,,,,,,IBGE,,,,,,,,,,,,,,,,,,,0.0,1394.9541048200686
,residential,,,,Rua Maria Lúcia Piersante,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,453.0508257355388
,residential,,,,Rua Nelson Correia Brum,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,726.8902016469544
,residential,,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,62.27628999575583
,residential,,,,Rua Suely Campos Lima,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,64.20138929983146
,residential,,,,Rua 44,,,paved,,,,,Rua Quarenta e Quatro,,,,,,,,,,,,,,,,,,0.0,51.01657418938441
,residential,,,,Rua João Pinto Osório,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,61.61817358356554
,residential,,,,Rua Itamar Nogueira Riso,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,63.9058559818935
,residential,,,,Rua 98,,,paved,,,,,Rua Noventa e Oito,,,,,,,,,,,,,,,,,,0.0,54.908263249787666
,residential,,,,Rua 96,,,paved,,,,,Rua Noventa e Seis,,,,,,,,,,,,,,,,,,0.0,50.57042803664934
,residential,,,,Rua 58,,,paved,,,,,Rua Cinquenta e Oito,,,,,,,,,,,,,,,,,,0.0,47.3424517626583
,residential,,,,Rua Vereador Rubens Santos,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,66.08979227879817
,residential,,,,Rua Maciel José Vilarindo,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,61.24612319283676
,residential,,,,Rua Francisco de Mattos,,,paved,,,,IBGE,,,,,,,,,,,,,,,,,,,0.0,199.6935270324676
