circumference,denotation,genus,height,leaf_type,natural,species,species:wikidata,fixme,highway,level,min_height,amenity,note,addr:housename,addr:postcode,addr:street,check_date,cuisine,indoor_seating,name,outdoor_seating,source,stars,website,wheelchair,wikidata,colour,generator:method,generator:output:electricity,generator:source,generator:type,manufacturer,model,power,rotor:diameter,rotor:height,start_date,backrest,3dmr,addr:city,addr:housenumber,alt_name:sr,alt_name:zh-Hans,alt_name:zh-Hant,architect,building,building:colour,building:material,building:shape,communication:radio,communication:television,engineer,fee,heritage,heritage:operator,historic,historic:period,image,image:0,importance,landmark,layer,man_made,mhs:inscription_date,name:af,name:ar,name:ast,name:ba,name:be,name:br,name:cs,name:da,name:de,name:el,name:en,name:eo,name:es,name:et,name:eu,name:fa,name:fi,name:fr,name:he,name:hi,name:hr,name:hu,name:ia,name:id,name:io,name:it,name:ja,name:kk,name:ko,name:ku,name:la,name:lb,name:nl,name:pl,name:pt,name:ro,name:ru,name:sk,name:sl,name:sr,name:sv,name:ta,name:tr,name:tt,name:uk,name:vi,name:vo,name:zh,name:zh-Hans,name:zh-Hant,opening_hours,operator,panoramax,ref:FR:ANFR,ref:FR:FANTOIR,ref:mhs,source:building,source:heritage,source:name:br,tourism,tourism:visitors,tower:construction,tower:type,wikimedia_commons,wikipedia,access,lit,surface,note:render,render,covered,smoothness,building:part,roof:shape,foot,handrail,incline,oneway,ramp,step_count,tactile_paving,noname,indoor,repeat_on,building:levels,description:en,landuse,area_m2,length_m
,,,,,,,,,elevator,1;2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,16.40159722424215
,,,,,,,,,steps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metal,,,,,,,customers,yes,up,no,no,18,no,,,,,,,0.0,11.427635660258726
,,,,,,,,,steps,1;0,,,"escalier Est, vers le rez-de-chaussée",,,,,,,,,http://www.toureiffel.paris/images/actualites/autres/parcours_expo_zoom.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metal,,,,,,,customers,yes,down,yes,no,394,no,,,,,,,0.0,37.84944154168368
,,,,,,,,,elevator,1,57.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,33.1350321952459,23.153660043042457
,,,,,,,,position estimated,elevator,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,32.21544383634507,22.79065740684588
,,,,,,,,,elevator,2,115.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,room,,,,,33.16413785140986,23.15570329345814
,,,,,,,,,elevator,,115.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,room,0;1;2,,,,19.341483120577642,17.85925483099546
,,,,,,,,,elevator,1,57.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,33.15900545690786,23.158069810902
,,,,,,,,,elevator,1,57.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,yes,,,,,,33.18759604034445,23.169453918181716
,,,,,,,,,footway,0,,,[lapinos03] tracé voie pédestre facilite le calcul d'itinéraire piéton tout en étant invisible sur le rendu de l'aire piétonne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gravel,render=no until rendering is honoring the covered tag or the layer tag,no,,,,,,,,,,,,,,,,,,0.0,4.73407782784246
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Security check,,19.624994213700404,19.265686994795622
,,,,,,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,0.0,6.6975377850534406
,,,,,,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,0.0,9.773982798212874
,,,,,,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,0.0,11.142994080832016
,,,,,,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,18.842775128482614
,,,,,,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,0.0,17.884422523300014
,,,,,,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,customers,yes,,,,,,,,,,,,,,,,,,,,,0.0,97.05300292343716
,,,,,,,,,,2,,toilets,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,customers,,,,,,,,,,,,,,,,,room,,,,,114.66267610362951,38.135158848403435
,,,,,,,,,elevator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,room,0;1;2,,,,21.991792395519862,19.14986638255948
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,2360.0706414567853,262.34095151819866
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,5339.941285114088,289.7025955957893
